Run,age_group,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,sub_species,time,tissue,treatment
SRR17047793,young adult (1 = Age = 2 years),RNA-Seq,302,8771080526,PRJNA783897,SAMN23457237,2892342506,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX13237616,GSM5704678,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T15:45:00Z,1,GSM5704678,Lung tissues,SRP348078,furo,uninfected,Lung tissues,PBS
SRR17047794,young adult (1 = Age = 2 years),RNA-Seq,302,6622467098,PRJNA783897,SAMN23457238,2178121099,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX13237618,GSM5704679,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T15:38:00Z,1,GSM5704679,Lung tissues,SRP348078,furo,2dpi,Lung tissues,SARS-CoV-2
SRR17047782,juvenile (Age = 6 months),RNA-Seq,202,15418839780,PRJNA783897,SAMN23457226,4867841363,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX13237594,GSM5704667,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T16:36:00Z,1,GSM5704667,Lung tissues,SRP348078,furo,uninfected,Lung tissues,PBS
SRR17047783,juvenile (Age = 6 months),RNA-Seq,202,16904829146,PRJNA783897,SAMN23457227,5570164134,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX13237596,GSM5704668,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T16:35:00Z,1,GSM5704668,Lung tissues,SRP348078,furo,uninfected,Lung tissues,PBS
SRR17047784,juvenile (Age = 6 months),RNA-Seq,202,12308770616,PRJNA783897,SAMN23457228,3875290743,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX13237598,GSM5704669,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T16:19:00Z,1,GSM5704669,Lung tissues,SRP348078,furo,uninfected,Lung tissues,PBS
SRR17047785,juvenile (Age = 6 months),RNA-Seq,302,7972340960,PRJNA783897,SAMN23457229,2610630853,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX13237600,GSM5704670,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T15:40:00Z,1,GSM5704670,Lung tissues,SRP348078,furo,2dpi,Lung tissues,SARS-CoV-2
SRR17047786,juvenile (Age = 6 months),RNA-Seq,302,6403280632,PRJNA783897,SAMN23457230,2104773470,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX13237602,GSM5704671,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T15:41:00Z,1,GSM5704671,Lung tissues,SRP348078,furo,2dpi,Lung tissues,SARS-CoV-2
SRR17047787,juvenile (Age = 6 months),RNA-Seq,302,9038239088,PRJNA783897,SAMN23457231,2944397383,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX13237604,GSM5704672,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T16:01:00Z,1,GSM5704672,Lung tissues,SRP348078,furo,2dpi,Lung tissues,SARS-CoV-2
SRR17047788,juvenile (Age = 6 months),RNA-Seq,302,6649615992,PRJNA783897,SAMN23457232,2182944697,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX13237606,GSM5704673,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T15:40:00Z,1,GSM5704673,Lung tissues,SRP348078,furo,5dpi,Lung tissues,SARS-CoV-2
SRR17047789,juvenile (Age = 6 months),RNA-Seq,302,8934173210,PRJNA783897,SAMN23457233,2932287480,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX13237608,GSM5704674,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mustela putorius furo,ILLUMINA,2022-01-01T00:00:00Z,2021-11-26T15:59:00Z,1,GSM5704674,Lung tissues,SRP348078,furo,5dpi,Lung tissues,SARS-CoV-2
