"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMPUG00000023324",4617.65785601416,-11.663121011403,0.669197424444229,-17.4285204715026,5.01261936978784e-68,1.02853936848677e-63
"ENSMPUG00000020575",2073.5903930129,-6.43951683400761,0.436097502563014,-14.7662318544856,2.41862409654323e-49,2.48138739184852e-45
"ENSMPUG00000002012",113.223306122032,-4.21945746192412,0.300344502130993,-14.0487254868539,7.84328827871861e-45,5.3645477397009e-41
"ENSMPUG00000015599",6991.13253965523,4.20700799166739,0.302084778113596,13.9265805378826,4.36771316486031e-44,2.24052766074422e-40
"ENSMPUG00000006732",203.561905407968,-2.3930091851705,0.179740335985694,-13.3137015241864,1.92693445227701e-40,7.9077536052544e-37
"ENSMPUG00000008889",181.861694431883,-1.46277465457251,0.111915626489303,-13.0703343264788,4.86512351438152e-39,1.66379115652657e-35
"ENSMPUG00000001693",205.386907006943,-2.81943863682539,0.221205176949012,-12.7458076511259,3.28966187073652e-37,9.64293884652037e-34
"ENSMPUG00000020795",30418.2605143743,-4.93663910754221,0.389006111952632,-12.6903895745045,6.68524251850543e-37,1.71468114046516e-33
"ENSMPUG00000019246",591.909111350283,-1.05046173450058,0.0830916556545916,-12.6422048787583,1.23540300119943e-36,2.81658157573456e-33
"ENSMPUG00000023644",33.2939687856672,-3.04790680022078,0.241484079207467,-12.6215641636657,1.6059934117296e-36,3.29533788152797e-33
"ENSMPUG00000019485",813.549517238702,-0.61250479509647,0.0485581980607989,-12.6138287571867,1.77172051019071e-36,3.30490301350938e-33
"ENSMPUG00000019019",1106.62548000687,-2.80711207316588,0.22966178681537,-12.2228086443592,2.34828991845293e-34,4.01538006972797e-31
"ENSMPUG00000021554",5991.28347474186,-16.0511403008108,1.31579307624946,-12.1988332288258,3.15309603135235e-34,4.97679826671683e-31
"ENSMPUG00000007052",209.809057308972,-3.33218754353943,0.273576536476997,-12.1800925856067,3.96831125682415e-34,5.81612704848391e-31
"ENSMPUG00000004371",1687.89997365718,-2.66365899854303,0.220472133475584,-12.0816130208946,1.32102510079941e-33,1.80707426955354e-30
"ENSMPUG00000018118",1648.25269060182,3.56777114439632,0.296458195622106,12.0346517555687,2.33617725291907e-33,2.9960013157904e-30
"ENSMPUG00000013134",3672.60111258981,3.75953736305165,0.315927740665146,11.8999912927444,1.18359503077964e-32,1.42859920215102e-29
"ENSMPUG00000021836",29.6989840550584,-3.95826751649321,0.333988607039261,-11.851504611437,2.11361328300158e-32,2.40940171966164e-29
"ENSMPUG00000014816",240.116464657968,-1.18038873778123,0.1006904626601,-11.722944821158,9.72322399158547e-32,1.05005701622812e-28
"ENSMPUG00000002187",1633.89853498671,3.30052340752973,0.285523302005488,11.5595588323166,6.60472312337849e-31,6.77611568843016e-28
"ENSMPUG00000020174",52.0499816815978,-2.47967766935415,0.214717347651444,-11.5485669717729,7.50615432800132e-31,7.33422765029805e-28
"ENSMPUG00000003275",9104.95834135811,1.76186090940626,0.152941104941124,11.519865180028,1.0477480694769e-30,9.77215574436208e-28
"ENSMPUG00000008996",579.942375525853,-1.46010841602607,0.126850699095405,-11.5104483178916,1.16869260792544e-30,1.04262624443575e-27
"ENSMPUG00000004152",810.443446863586,-1.29772348112317,0.112792131005672,-11.5054434165971,1.23851168342871e-30,1.05887588467807e-27
"ENSMPUG00000012526",753.634531026406,-1.25367071343368,0.109074288634993,-11.4937326580142,1.41847566031014e-30,1.16422808295615e-27
