Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Human gene stable ID	Human gene name	Human orthology confidence [0 low, 1 high]
ENSMPUG00000000002	ENSMPUG00000000002.1	ENSMPUT00000000002	ENSMPUT00000000002.1			
ENSMPUG00000000003	ENSMPUG00000000003.1	ENSMPUT00000000003	ENSMPUT00000000003.1			
ENSMPUG00000000004	ENSMPUG00000000004.1	ENSMPUT00000000004	ENSMPUT00000000004.1	ENSG00000184719	RNLS	0
ENSMPUG00000000005	ENSMPUG00000000005.1	ENSMPUT00000000005	ENSMPUT00000000005.1			
ENSMPUG00000000006	ENSMPUG00000000006.1	ENSMPUT00000000006	ENSMPUT00000000006.1			
ENSMPUG00000000007	ENSMPUG00000000007.1	ENSMPUT00000000007	ENSMPUT00000000007.1	ENSG00000034152	MAP2K3	1
ENSMPUG00000000008	ENSMPUG00000000008.1	ENSMPUT00000000008	ENSMPUT00000000008.1	ENSG00000274180	NATD1	1
ENSMPUG00000000009	ENSMPUG00000000009.1	ENSMPUT00000000009	ENSMPUT00000000009.1	ENSG00000178307	TMEM11	1
ENSMPUG00000000010	ENSMPUG00000000010.1	ENSMPUT00000000010	ENSMPUT00000000010.1	ENSG00000109016	DHRS7B	1
ENSMPUG00000000011	ENSMPUG00000000011.1	ENSMPUT00000000011	ENSMPUT00000000011.1	ENSG00000124422	USP22	1
ENSMPUG00000000012	ENSMPUG00000000012.1	ENSMPUT00000000012	ENSMPUT00000000012.1	ENSG00000240505	TNFRSF13B	1
ENSMPUG00000000013	ENSMPUG00000000013.1	ENSMPUT00000000013	ENSMPUT00000000013.1			
ENSMPUG00000000014	ENSMPUG00000000014.1	ENSMPUT00000000014	ENSMPUT00000000014.1	ENSG00000133030	MPRIP	0
ENSMPUG00000000015	ENSMPUG00000000015.1	ENSMPUT00000000015	ENSMPUT00000000015.1	ENSG00000179598	PLD6	1
ENSMPUG00000000016	ENSMPUG00000000016.1	ENSMPUT00000000016	ENSMPUT00000000016.1	ENSG00000154803	FLCN	1
ENSMPUG00000000017	ENSMPUG00000000017.1	ENSMPUT00000000017	ENSMPUT00000000017.1	ENSG00000141030	COPS3	1
ENSMPUG00000000018	ENSMPUG00000000018.1	ENSMPUT00000000018	ENSMPUT00000000018.1			
ENSMPUG00000000019	ENSMPUG00000000019.1	ENSMPUT00000000019	ENSMPUT00000000019.1	ENSG00000205309	NT5M	1
ENSMPUG00000000020	ENSMPUG00000000020.1	ENSMPUT00000000020	ENSMPUT00000000020.1	ENSG00000141026	MED9	1
ENSMPUG00000000021	ENSMPUG00000000021.1	ENSMPUT00000000021	ENSMPUT00000000021.1	ENSG00000108551	RASD1	1
ENSMPUG00000000022	ENSMPUG00000000022.1	ENSMPUT00000000022	ENSMPUT00000000022.1	ENSG00000133027	PEMT	1
ENSMPUG00000000023	ENSMPUG00000000023.1	ENSMPUT00000000023	ENSMPUT00000000023.1	ENSG00000108557	RAI1	1
ENSMPUG00000000024	ENSMPUG00000000024.1	ENSMPUT00000000024	ENSMPUT00000000024.1	ENSG00000072310	SREBF1	1
ENSMPUG00000000025	ENSMPUG00000000025.1	ENSMPUT00000000025	ENSMPUT00000000025.1	ENSG00000175662	TOM1L2	1
ENSMPUG00000000026	ENSMPUG00000000026.1	ENSMPUT00000000026	ENSMPUT00000000026.1	ENSG00000171962	DRC3	1
ENSMPUG00000000027	ENSMPUG00000000027.1	ENSMPUT00000000027	ENSMPUT00000000027.1	ENSG00000171953	ATPAF2	1
ENSMPUG00000000028	ENSMPUG00000000028.1	ENSMPUT00000000028	ENSMPUT00000000028.1	ENSG00000141034	GID4	1
ENSMPUG00000000029	ENSMPUG00000000029.1	ENSMPUT00000000029	ENSMPUT00000000029.1	ENSG00000108591	DRG2	1
ENSMPUG00000000030	ENSMPUG00000000030.1	ENSMPUT00000000030	ENSMPUT00000000030.1	ENSG00000091536	MYO15A	1
ENSMPUG00000000031	ENSMPUG00000000031.1	ENSMPUT00000000031	ENSMPUT00000000031.1			
ENSMPUG00000000032	ENSMPUG00000000032.1	ENSMPUT00000000032	ENSMPUT00000000032.1	ENSG00000091542	ALKBH5	1
ENSMPUG00000000033	ENSMPUG00000000033.1	ENSMPUT00000000033	ENSMPUT00000000033.1	ENSG00000131899	LLGL1	1
ENSMPUG00000000034	ENSMPUG00000000034.1	ENSMPUT00000000034	ENSMPUT00000000034.1	ENSG00000177731	FLII	1
ENSMPUG00000000035	ENSMPUG00000000035.1	ENSMPUT00000000035	ENSMPUT00000000035.1	ENSG00000177427	MIEF2	1
ENSMPUG00000000036	ENSMPUG00000000036.1	ENSMPUT00000000036	ENSMPUT00000000036.1	ENSG00000177302	TOP3A	1
ENSMPUG00000000037	ENSMPUG00000000037.1	ENSMPUT00000000037	ENSMPUT00000000037.1	ENSG00000176994	SMCR8	1
ENSMPUG00000000038	ENSMPUG00000000038.1	ENSMPUT00000000038	ENSMPUT00000000038.1	ENSG00000176974	SHMT1	1
ENSMPUG00000000039	ENSMPUG00000000039.1	ENSMPUT00000000039	ENSMPUT00000000039.1			
ENSMPUG00000000040	ENSMPUG00000000040.1	ENSMPUT00000000040	ENSMPUT00000000040.1	ENSG00000141127	PRPSAP2	1
ENSMPUG00000000041	ENSMPUG00000000041.1	ENSMPUT00000000041	ENSMPUT00000000041.1	ENSG00000154025	SLC5A10	1
ENSMPUG00000000042	ENSMPUG00000000042.1	ENSMPUT00000000042	ENSMPUT00000000042.1	ENSG00000188522	FAM83G	1
